name,steps,alpha,beta,gamma,sla_penalty_scale,lr,n_steps,batch_size,ent_coef,clip_range,avg_reward,std_reward,avg_latency,p95_latency,avg_energy_per_mbps,sla_violation_rate,vs_baseline_sla_delta,baseline_best_sla,train_seed,eval_seeds,elapsed_s
step_50k,50000,0.35,0.55,0.1,1.0,0.0003,256,64,0.01,0.2,-17.5691,1.689,95.8533,111.4767,0.7292,0.0272,-0.0305,0.0577,42,"(0, 1, 2)",67.2
step_50k,50000,0.35,0.55,0.1,1.0,0.0003,256,64,0.01,0.2,-17.5691,1.689,95.8533,111.4767,0.7292,0.0272,-0.0305,0.0577,42,"(0, 1, 2)",72.3
step_100k,100000,0.35,0.55,0.1,1.0,0.0003,256,64,0.01,0.2,-17.3203,1.6831,94.7567,107.87,0.7343,0.0016,-0.0561,0.0577,42,"(0, 1, 2)",129.4
step_100k,100000,0.35,0.55,0.1,1.0,0.0003,256,64,0.01,0.2,-17.3203,1.6831,94.7567,107.87,0.7343,0.0016,-0.0561,0.0577,42,"(0, 1, 2)",145.1
step_200k,200000,0.35,0.55,0.1,1.0,0.0003,256,64,0.01,0.2,-17.4035,1.6415,95.1233,107.9167,0.7397,0.0018,-0.0559,0.0577,42,"(0, 1, 2)",615.7
step_200k,200000,0.35,0.55,0.1,1.0,0.0003,256,64,0.01,0.2,-17.4035,1.6415,95.1233,107.9167,0.7397,0.0018,-0.0559,0.0577,42,"(0, 1, 2)",612.1
step_500k,500000,0.35,0.55,0.1,1.0,0.0003,256,64,0.01,0.2,-17.0844,1.718,93.5867,107.61,0.7217,0.0012,-0.0565,0.0577,42,"(0, 1, 2)",700.4
step_500k,500000,0.35,0.55,0.1,1.0,0.0003,256,64,0.01,0.2,-17.0844,1.718,93.5867,107.61,0.7217,0.0012,-0.0565,0.0577,42,"(0, 1, 2)",685.2
wd_setA_100k,100000,0.3,0.4,0.3,1.0,0.0003,256,64,0.01,0.2,-13.0471,1.3789,93.85,108.5967,0.7246,0.0026,-0.0551,0.0577,42,"(0, 1, 2)",115.3
wd_setA_100k,100000,0.3,0.4,0.3,1.0,0.0003,256,64,0.01,0.2,-13.0471,1.3789,93.85,108.5967,0.7246,0.0026,-0.0551,0.0577,42,"(0, 1, 2)",117.2
